id,subset,key,smiles,formula,level,mwt,nH,nC,nCl,E,H,S,G,dE,dH,dS,dG,zpe,homo,lumo,gap,Mu,alpha,tMu,rotA,rotB,rotC
3-0346,monoCl,HHXJWMSGMIHDFG-UHFFFAOYSA-N,c1c2c3cc4cc(Cl)ccc4cc3ccc2c2c(c1)ccc1c2cccc1,C26H15Cl,xtb2,362.859,15,26,1,-67.90232918126,-67.567188123647,0.00022571444,-67.634484883953,10.891856931769,10.655858066116,0.001837479684,10.108013497041,0.314488372124,-9.9787,-7.7933,2.185462645594,2.588,279.819191,0.935 -0.364 0.176,0.01918959,0.002463618,0.00222349
3-0346,monoCl,HHXJWMSGMIHDFG-UHFFFAOYSA-N,c1c2c3cc4cc(Cl)ccc4cc3ccc2c2c(c1)ccc1c2cccc1,C26H15Cl,r2scan,362.859,15,26,1,-1459.807994229962,-1459.4652583062,0.0002180164,-1459.5302598874,8.597307387266,8.3537116434,0.001971687,7.7658529983,0.3227827245,-5.1834,-2.6969,2.4865,2.36891,382.26429,0.84459 -0.36468 0.14920,0.019101,0.002433,0.002195
3-0346,monoCl,HHXJWMSGMIHDFG-UHFFFAOYSA-N,c1c2c3cc4cc(Cl)ccc4cc3ccc2c2c(c1)ccc1c2cccc1,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.894988544208,-1460.5522526204,0.0002180164,-1460.6172542016,8.47415524217,8.230559498,0.001971687,7.6427008544,0.3227827245,-7.6599,-0.3396,7.3203,2.34012,359.73605,0.83041 -0.36550 0.15634,0.019101,0.002433,0.002195
3-0347,monoCl,HIBIENYUKYCQNO-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2cccc3c2c2c1c(Cl)ccc2cc3,C24H13Cl,xtb2,336.821,13,24,1,-62.610622451905,-62.310189669153,0.000209141097,-62.372545087175,9.973708473016,9.762975768704,0.001664770721,9.266624376935,0.28196030635,-9.8861,-7.7044,2.181757188163,1.768,257.244497,-0.181 -0.667 0.076,0.01009962,0.006862501,0.004217172
3-0347,monoCl,HIBIENYUKYCQNO-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2cccc3c2c2c1c(Cl)ccc2cc3,C24H13Cl,r2scan,336.821,13,24,1,-1382.411302499552,-1382.1039129764,0.0002022606,-1382.1642169688,7.859591202762,7.6418999376,0.0017867266,7.1091872489,0.2895862175,-5.1257,-2.5615,2.5642,1.57755,316.93733,-0.18321 -0.58545 0.09422,0.009999,0.006759,0.004158
3-0347,monoCl,HIBIENYUKYCQNO-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2c2cccc3c2c2c1c(Cl)ccc2cc3,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.413982735993,-1383.1065932128,0.0002022606,-1383.1668972052,7.748830404201,7.5311391388,0.0017867266,6.9984264514,0.2895862175,-7.5378,-0.2666,7.2712,1.66456,305.94651,-0.22948 -0.60540 0.09842,0.009999,0.006759,0.004158
3-0348,monoCl,HIFVSJDAQNCRMG-UHFFFAOYSA-N,c1cc(Cl)c2c(c1)cc1c(c2)c2c(cc1)c1ccccc1c1c2cccc1,C26H15Cl,xtb2,362.859,15,26,1,-67.90156654088,-67.566137084528,0.000225693107,-67.633427484334,10.891094291389,10.654807026997,0.001837501017,10.106956097422,0.314716425395,-9.8528,-7.8114,2.041395264713,1.667,279.827705,0.105 0.595 -0.255,0.01153336,0.00403829,0.003155627
3-0348,monoCl,HIFVSJDAQNCRMG-UHFFFAOYSA-N,c1cc(Cl)c2c(c1)cc1c(c2)c2c(cc1)c1ccccc1c1c2cccc1,C26H15Cl,r2scan,362.859,15,26,1,-1459.805787526007,-1459.4625673895,0.000217676,-1459.5274674949,8.595100683311,8.3510207267,0.0019720274,7.7630606058,0.3232434877,-5.0607,-2.7365,2.3242,1.52998,356.36514,0.07311 0.55825 -0.21290,0.011429,0.003979,0.003097
3-0348,monoCl,HIFVSJDAQNCRMG-UHFFFAOYSA-N,c1cc(Cl)c2c(c1)cc1c(c2)c2c(cc1)c1ccccc1c1c2cccc1,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.894962695726,-1460.5517425592002,0.000217676,-1460.6166426646002,8.474129393688,8.2300494368,0.0019720274,7.6420893174,0.3232434877,-7.4952,-0.4018,7.0934,1.56769,340.88166,0.02130 0.57753 -0.21541,0.011429,0.003979,0.003097
3-0349,monoCl,HIRZEHMKZIGJPZ-UHFFFAOYSA-N,Clc1ccc2c(c1)ccc1c2cc2c(c1)cc1c(c2)c2ccccc2cc1,C26H15Cl,xtb2,362.859,15,26,1,-67.90694365653,-67.571981133177,0.000227877736,-67.639922880091,10.896471407039,10.660651075646,0.001835316388,10.113451493179,0.314093378154,-9.8582,-7.9106,1.947597712148,2.588,279.858257,-0.930 0.415 -0.000,0.01654917,0.002314341,0.002030397
